"window_number";"window_end_time";"packets_number";"total_packets_size"
627;627;16;768
628;628;60;2189
629;629;58;2140
630;630;34;1671
631;631;26;1259
632;632;15;720
633;633;33;1336
634;634;73;2627
635;635;44;2045
636;636;33;1603
637;637;31;1767
638;638;26;1446
639;639;62;2283
640;640;57;2089
641;641;25;1041
642;642;26;1316
643;643;23;1242
644;644;33;1324
645;645;75;2716
646;646;34;1359
647;647;33;1617
648;648;22;1191
649;649;24;1330
650;650;74;3105
651;651;64;2599
652;652;25;1046
653;653;22;967
654;654;14;672
655;655;39;1716
656;656;84;3331
657;657;35;1412
658;658;28;1193
659;659;24;1284
660;660;21;1150
661;661;64;2391
662;662;67;2777
663;663;36;1783
664;664;30;1531
665;665;14;672
666;666;32;1291
667;667;72;2583
668;668;37;1552
669;669;33;1641
670;670;19;950
671;671;16;768
672;672;63;2369
673;673;68;2846
674;674;32;1534
675;675;32;1647
676;676;26;1466
677;677;36;1566
678;678;75;2704
679;679;32;1265
680;680;27;1262
681;681;27;1453
682;682;14;672
683;683;59;2129
684;684;67;2696
685;685;32;1591
686;686;27;1306
687;687;27;1504
688;688;34;1441
689;689;84;3340
690;690;34;1421
691;691;27;1144
692;692;18;847
693;693;20;1071
694;694;69;2814
695;695;58;2140
696;696;25;1051
697;697;29;1438
698;698;24;1334
699;699;43;2003
700;700;80;3053
701;701;31;1216
702;702;34;1681
703;703;22;1123
704;704;15;720
705;705;68;2709
706;706;68;2774
707;707;27;1137
708;708;21;934
709;709;23;1284
710;710;38;1697
711;711;72;2573
712;712;41;1815
713;713;33;1598
714;714;26;1423
715;715;20;1075
716;716;59;2136
717;717;59;2183
718;718;29;1328
719;719;30;1540
720;720;15;735
721;721;34;1371
722;722;79;3012
723;723;43;2006
724;724;35;1739
725;725;19;963
726;726;17;879
727;727;71;2914
728;728;61;2329
729;729;25;1047
730;730;22;973
731;731;17;847
732;732;43;2004
733;733;77;2890
734;734;40;1733
735;735;36;1768
736;736;20;967
737;737;23;1282
738;738;70;2862
739;739;67;2812
740;740;25;1076
741;741;18;779
742;742;15;720
743;743;30;1184
744;744;72;2594
745;745;44;2016
746;746;27;1240
747;747;20;990
748;748;25;1394
749;749;72;2994
750;750;68;2811
751;751;36;1763
752;752;21;982
753;753;15;720
754;754;34;1380
755;755;73;2606
756;756;37;1576
757;757;34;1695
758;758;19;924
759;759;13;624
760;760;62;2276
761;761;72;3108
762;762;39;2016
763;763;20;873
764;764;26;1430
765;765;38;1683
766;766;72;2584
767;767;35;1400
768;768;23;950
769;769;18;877
770;770;24;1359
771;771;66;2557
772;772;56;2037
773;773;35;1660
774;774;39;2127
775;775;23;1287
776;776;42;1971
777;777;77;2845
778;778;32;1260
779;779;24;1007
780;780;18;851
781;781;15;720
782;782;63;2319
783;783;68;2796
784;784;32;1496
785;785;21;914
786;786;24;1350
787;787;51;2540
788;788;90;3714
789;789;36;1524
790;790;24;999
791;791;15;703
792;792;14;672
793;793;62;2301
794;794;58;2135
795;795;24;1006
796;796;30;1520
797;797;22;1205
798;798;37;1579
799;799;87;3572
800;800;54;2778
801;801;34;1624
802;802;16;768
803;803;15;720
804;804;61;2232
805;805;56;2041
806;806;25;1048
807;807;20;865
808;808;21;1097
809;809;44;2059
810;810;73;2604
811;811;37;1581
812;812;47;2543
813;813;34;1951
814;814;18;920
815;815;62;2283
816;816;60;2243
817;817;23;957
818;818;21;911
819;819;15;720
820;820;42;1918
821;821;78;2969
822;822;33;1317
823;823;25;1051
824;824;29;1604
825;825;32;1915
826;826;74;3128
827;827;64;2466
828;828;26;1100
829;829;21;918
830;830;14;672
831;831;33;1332
832;832;75;2694
833;833;41;1837
834;834;30;1439
835;835;16;751
836;836;20;1056
837;837;83;3713
838;838;76;3356
839;839;27;1166
840;840;19;828
841;841;17;816
842;842;32;1288
843;843;77;2808
844;844;35;1408
845;845;34;1588
846;846;23;1255
847;847;15;720
848;848;64;2418
849;849;76;3345
850;850;41;2172
851;851;30;1492
852;852;16;768
853;853;33;1331
854;854;73;2616
855;855;36;1447
856;856;23;972
857;857;26;1404
858;858;20;1074
859;859;61;2222
860;860;58;2136
861;861;36;1765
862;862;36;1969
863;863;23;1273
864;864;41;1905
865;865;74;2666
866;866;35;1394
867;867;25;1074
868;868;15;704
869;869;16;768
870;870;65;2562
871;871;66;2724
872;872;29;1318
873;873;36;1906
874;874;24;1418
875;875;33;1356
876;876;77;2847
877;877;41;1890
878;878;28;1258
879;879;15;705
880;880;14;672
881;881;61;2231
882;882;67;2771
883;883;31;1442
884;884;21;918
885;885;20;1051
886;886;46;2292
887;887;85;3371
888;888;34;1379
889;889;34;1701
890;890;19;972
891;891;15;720
892;892;63;2343
893;893;56;2067
894;894;35;1736
895;895;22;1047
896;896;13;624
897;897;32;1289
898;898;78;2924
899;899;49;2462
900;900;38;1862
901;901;24;1332
902;902;17;889
903;903;61;2224
904;904;59;2183
905;905;26;1082
906;906;22;1025
907;907;25;1397
908;908;36;1534
909;909;73;2617
910;910;33;1314
911;911;35;1696
912;912;35;2064
913;913;17;836
914;914;67;2681
915;915;65;2593
916;916;26;1095
917;917;21;928
918;918;20;1081
919;919;39;1810
920;920;73;2649
921;921;33;1313
922;922;27;1146
923;923;14;657
924;924;16;799
925;925;81;3595
926;926;68;2839
927;927;35;1720
928;928;24;1103
929;929;14;672
930;930;38;1682
931;931;84;3300
932;932;31;1196
933;933;25;1063
934;934;17;801
935;935;15;720
936;936;61;2239
937;937;71;3017
938;938;37;1908
939;939;31;1595
940;940;23;1271
941;941;29;1137
942;942;77;2808
943;943;39;1734
944;944;35;1719
945;945;17;801
946;946;14;672
947;947;60;2188
948;948;58;2145
949;949;28;1226
950;950;34;1747
951;951;36;2186
952;952;43;2050
953;953;74;2655
954;954;32;1263
955;955;29;1323
956;956;24;1351
957;957;15;739
958;958;63;2354
959;959;58;2145
960;960;26;1085
961;961;25;1233
962;962;25;1405
963;963;40;1834
964;964;87;3538
965;965;41;1865
966;966;24;1000
967;967;18;848
968;968;19;993
969;969;68;2765
970;970;60;2261
971;971;25;1050
972;972;23;1012
973;973;15;720
974;974;40;1834
975;975;91;3844
976;976;38;1661
977;977;29;1326
978;978;24;1327
979;979;18;864
980;980;66;2596
981;981;66;2727
982;982;25;1050
983;983;22;969
984;984;15;720
985;985;32;1290
986;986;86;3452
987;987;38;1649
988;988;33;1597
989;989;23;1225
990;990;18;897
991;991;70;2899
992;992;73;3141
993;993;29;1346
994;994;21;921
995;995;15;720
996;996;32;1287
997;997;73;2639
998;998;43;2013
999;999;29;1328
1000;1000;17;803
1001;1001;23;1255
1002;1002;70;2848
1003;1003;65;2585
1004;1004;42;2135
1005;1005;28;1447
1006;1006;15;720
1007;1007;31;1234
1008;1008;76;2748
1009;1009;33;1344
1010;1010;34;1660
1011;1011;21;1073
1012;1012;17;816
1013;1013;64;2422
1014;1014;69;2901
1015;1015;26;1119
1016;1016;29;1466
1017;1017;34;1949
1018;1018;37;1625
1019;1019;73;2602
1020;1020;33;1308
1021;1021;25;1051
1022;1022;19;982
1023;1023;27;1498
1024;1024;64;2431
1025;1025;63;2525
1026;1026;33;1584
1027;1027;22;961
1028;1028;23;1257
1029;1029;48;2356
1030;1030;79;3057
1031;1031;34;1351
1032;1032;26;1111
1033;1033;17;802
1034;1034;12;576
1035;1035;68;2702
1036;1036;67;2772
1037;1037;29;1328
1038;1038;32;1642
1039;1039;16;790
1040;1040;36;1500
1041;1041;84;3353
1042;1042;46;2171
1043;1043;31;1487
1044;1044;16;752
1045;1045;17;816
1046;1046;60;2190
1047;1047;59;2179
1048;1048;35;1686
1049;1049;32;1747
1050;1050;24;1328
1051;1051;31;1228
1052;1052;73;2626
1053;1053;42;1924
1054;1054;30;1408
1055;1055;21;1088
1056;1056;24;1328
1057;1057;62;2304
1058;1058;60;2231
1059;1059;24;1000
1060;1060;23;1061
1061;1061;28;1596
1062;1062;46;2213
1063;1063;75;2769
1064;1064;33;1316
1065;1065;25;1043
1066;1066;20;1048
1067;1067;23;1313
1068;1068;64;2447
1069;1069;69;2877
1070;1070;26;1137
1071;1071;21;916
1072;1072;18;924
1073;1073;41;1906
1074;1074;84;3323
1075;1075;43;1937
1076;1076;23;971
1077;1077;14;659
1078;1078;15;720
1079;1079;69;2795
1080;1080;65;2637
1081;1081;33;1622
1082;1082;25;1220
1083;1083;16;768
1084;1084;34;1386
1085;1085;86;3454
1086;1086;48;2293
1087;1087;30;1432
1088;1088;15;705
1089;1089;17;816
1090;1090;64;2456
1091;1091;67;2764
1092;1092;34;1626
1093;1093;32;1636
1094;1094;14;672
1095;1095;32;1277
1096;1096;76;2781
1097;1097;43;1987
1098;1098;32;1536
1099;1099;26;1423
1100;1100;18;904
1101;1101;60;2195
1102;1102;58;2142
1103;1103;31;1409
1104;1104;32;1703
1105;1105;26;1451
1106;1106;36;1505
1107;1107;73;2617
1108;1108;39;1731
1109;1109;35;1707
1110;1110;21;1111
1111;1111;25;1379
1112;1112;60;2199
1113;1113;57;2098
1114;1114;25;1037
1115;1115;22;966
1116;1116;15;720
1117;1117;47;2251
1118;1118;89;3684
1119;1119;35;1465
1120;1120;28;1243
1121;1121;28;1525
1122;1122;20;1069
1123;1123;70;2884
1124;1124;60;2309
1125;1125;27;1130
1126;1126;20;866
1127;1127;14;672
1128;1128;35;1516
1129;1129;92;3861
1130;1130;45;2077
1131;1131;26;1082
1132;1132;16;768
1133;1133;15;720
1134;1134;71;2914
1135;1135;62;2464
1136;1136;35;1729
1137;1137;23;1110
1138;1138;17;816
1139;1139;31;1242
1140;1140;80;3109
1141;1141;40;1844
1142;1142;36;1802
1143;1143;18;919
1144;1144;17;816
1145;1145;60;2193
1146;1146;59;2250
1147;1147;35;1709
1148;1148;26;1235
1149;1149;25;1341
1150;1150;40;1815
1151;1151;74;2642
1152;1152;36;1533
1153;1153;37;1793
1154;1154;18;924
1155;1155;23;1290
1156;1156;63;2416
1157;1157;56;2021
1158;1158;25;1047
1159;1159;23;1060
1160;1160;27;1495
1161;1161;36;1540
1162;1162;83;3289
1163;1163;37;1597
1164;1164;25;1045
1165;1165;19;928
1166;1166;26;1448
1167;1167;72;2957
1168;1168;64;2596
1169;1169;26;1099
1170;1170;21;913
1171;1171;19;997
1172;1172;43;2032
1173;1173;75;2726
1174;1174;34;1362
1175;1175;34;1596
1176;1176;22;1212
1177;1177;16;788
1178;1178;71;2905
1179;1179;61;2355
1180;1180;29;1348
1181;1181;31;1575
1182;1182;15;720
1183;1183;37;1620
1184;1184;83;3309
1185;1185;36;1445
1186;1186;22;917
1187;1187;17;802
1188;1188;24;1344
1189;1189;68;2656
1190;1190;61;2327
1191;1191;36;1781
1192;1192;24;1123
1193;1193;17;872
1194;1194;43;2019
1195;1195;74;2691
1196;1196;45;2091
1197;1197;29;1343
1198;1198;17;803
1199;1199;15;720
1200;1200;64;2410
1201;1201;68;2805
1202;1202;30;1360
1203;1203;31;1598
1204;1204;18;965
1205;1205;32;1280
1206;1206;85;3399
1207;1207;38;1654
1208;1208;31;1425
1209;1209;25;1411
1210;1210;13;624
1211;1211;62;2283
1212;1212;63;2471
1213;1213;35;1743
1214;1214;18;778
